DateTime,Currency,Impact,Event,Actual,Forecast,Previous,Detail
2025-01-02 13:30:00+00:00,USD,High Impact Expected,Unemployment Claims,211K,222K,220K,"Source: Department of Labor (latest release) | Measures: The number of individuals who filed for unemployment insurance for the first time during the past week; | Usual Effect: 'Actual' less than 'Forecast' is good for currency; | Frequency: Released weekly, usually on the first Thursday after the week ends; | Next Release: Jan 8, 2025 | FF Notes: This is the nation's earliest economic data. The market impact fluctuates from week to week - there tends to be more focus on the release when traders need to diagnose recent developments, or when the reading is at extremes; | Why Traders Care: Although it's generally viewed as a lagging indicator, the number of unemployed people is an important signal of overall economic health because consumer spending is highly correlated with labor-market conditions. Unemployment is also a major consideration for those steering the country's monetary policy; | Also Called: Jobless Claims, Initial Claims;"
2025-01-03 15:00:00+00:00,USD,High Impact Expected,ISM Manufacturing PMI,49.3,48.2,48.4,"Source: Institute for Supply Management (latest release) | Measures: Level of a diffusion index based on surveyed purchasing managers in the manufacturing industry; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, on the first business day after the month ends; | Next Release: Feb 3, 2025 | FF Notes: Above 50.0 indicates industry expansion, below indicates contraction; | Why Traders Care: It's a leading indicator of economic health - businesses react quickly to market conditions, and their purchasing managers hold perhaps the most current and relevant insight into the company's view of the economy; | Derived Via: Survey of about 300 purchasing managers which asks respondents to rate the relative level of business conditions including employment, production, new orders, prices, supplier deliveries, and inventories; | Also Called: Manufacturing ISM Report On Business; | Acro Expand: The Institute for Supply Management (ISM), Purchasing Managers' Index (PMI);"
2025-01-06 20:30:00+00:00,USD,High Impact Expected,JOLTS Job Openings,8.10M,7.73M,7.84M,"Source: Bureau of Labor Statistics (latest release) | Measures: Number of job openings during the reported month, excluding the farming industry; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, about 35 days after the month ends; | Next Release: Feb 4, 2025 | FF Notes: It's released late, but can impact the market because job openings are a leading indicator of overall employment; | Why Traders Care: Job creation is an important leading indicator of consumer spending, which accounts for a majority of overall economic activity; | Acro Expand: Job Openings and Labor Turnover Survey (JOLTS);"
2025-01-06 20:30:00+00:00,USD,High Impact Expected,ISM Services PMI,54.1,53.5,52.1,"Source: Institute for Supply Management (latest release) | Measures: Level of a diffusion index based on surveyed purchasing managers, excluding the manufacturing industry; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, on the third business day after the month ends; | Next Release: Feb 5, 2025 | FF Notes: Above 50.0 indicates industry expansion, below indicates contraction. Source changed series from unadjusted to seasonally adjusted as of January 2001. Source changed series calculation formula as of Feb 2008; | Why Traders Care: It's a leading indicator of economic health - businesses react quickly to market conditions, and their purchasing managers hold perhaps the most current and relevant insight into the company's view of the economy; | Derived Via: Survey of about 300 purchasing managers which asks respondents to rate the relative level of business conditions including employment, production, new orders, prices, supplier deliveries, and inventories; | Also Called: Non-Manufacturing PMI, Non-Manufacturing ISM Report On Business; | Acro Expand: The Institute for Supply Management (ISM), Purchasing Managers' Index (PMI);"
2025-01-08 13:15:00+00:00,USD,High Impact Expected,ADP Non-Farm Employment Change,122K,139K,146K,"Source: Automatic Data Processing, Inc. (latest release) | Measures: Estimated change in the number of employed people during the previous month, excluding the farming industry and government; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, usually on the first Wednesday after the month ends; | Next Release: Feb 5, 2025 | FF Notes: This data provides an early look at employment growth, usually 2 days ahead of the government-released employment data that it's designed to mimic. Source changed series calculation formula in Feb 2007, Dec 2008, and Nov 2012, to better align with government data; | Why Traders Care: Job creation is an important leading indicator of consumer spending, which accounts for a majority of overall economic activity; | Derived Via: ADP analyzes payroll data from more than 25 million workers to derive employment growth estimations; | Acro Expand: Automatic Data Processing, Inc. (ADP);"
2025-01-08 13:30:00+00:00,USD,High Impact Expected,Unemployment Claims,201K,214K,211K,"Source: Department of Labor (latest release) | Measures: The number of individuals who filed for unemployment insurance for the first time during the past week; | Usual Effect: 'Actual' less than 'Forecast' is good for currency; | Frequency: Released weekly, usually on the first Thursday after the week ends; | Next Release: Jan 16, 2025 | FF Notes: This is the nation's earliest economic data. The market impact fluctuates from week to week - there tends to be more focus on the release when traders need to diagnose recent developments, or when the reading is at extremes; | Why Traders Care: Although it's generally viewed as a lagging indicator, the number of unemployed people is an important signal of overall economic health because consumer spending is highly correlated with labor-market conditions. Unemployment is also a major consideration for those steering the country's monetary policy; | Also Called: Jobless Claims, Initial Claims;"
2025-01-08 19:00:00+00:00,USD,High Impact Expected,FOMC Meeting Minutes,,,,"Source: Federal Reserve (latest release) | Usual Effect: More hawkish than expected is good for currency; | Frequency: Scheduled 8 times per year, 3 weeks after the Federal Funds Rate is announced; | Next Release: Feb 19, 2025 | Why Traders Care: It's a detailed record of the FOMC's most recent meeting, providing in-depth insights into the economic and financial conditions that influenced their vote on where to set interest rates; | Acro Expand: Federal Open Market Committee (FOMC);"
2025-01-09 20:30:00+00:00,USD,High Impact Expected,Unemployment Rate,4.1%,4.2%,4.2%,"Source: Bureau of Labor Statistics (latest release) | Measures: Percentage of the total work force that is unemployed and actively seeking employment during the previous month; | Usual Effect: 'Actual' less than 'Forecast' is good for currency; | Frequency: Released monthly, usually on the first Friday after the month ends; | Next Release: Feb 7, 2025 | Why Traders Care: Although it's generally viewed as a lagging indicator, the number of unemployed people is an important signal of overall economic health because consumer spending is highly correlated with labor-market conditions. Unemployment is also a major consideration for those steering the country's monetary policy; | Also Called: Jobless Rate;"
2025-01-09 20:30:00+00:00,USD,High Impact Expected,Non-Farm Employment Change,256K,164K,212K,"Source: Bureau of Labor Statistics (latest release) | Measures: Change in the number of employed people during the previous month, excluding the farming industry; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, usually on the first Friday after the month ends; | Next Release: Feb 7, 2025 | FF Notes: This is vital economic data released shortly after the month ends. The combination of importance and earliness makes for hefty market impacts; | Why Traders Care: Job creation is an important leading indicator of consumer spending, which accounts for a majority of overall economic activity; | Also Called: Non-Farm Payrolls, NFP, Employment Change;"
2025-01-09 20:30:00+00:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.3%,0.3%,0.4%,"Source: Bureau of Labor Statistics (latest release) | Measures: Change in the price businesses pay for labor, excluding the farming industry; | Usual Effect: 'Actual' greater than 'Forecast' is good for currency; | Frequency: Released monthly, usually on the first Friday after the month ends; | Next Release: Feb 7, 2025 | FF Notes: This is the earliest data related to labor inflation. Source changed series calculation formula as of Feb 2010; | Why Traders Care: It's a leading indicator of consumer inflation - when businesses pay more for labor the higher costs are usually passed on to the consumer;"
